hold_days,stop_loss_frac,entry_threshold,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held,stop_loss_exit_count
1,,,0.0,,0.0,0.0,365,365,1.0,0
1,,0.0,0.0,,0.0,0.0,172,172,1.0,0
1,,0.0005,0.0,,0.0,0.0,122,122,1.0,0
1,,0.001,0.0,,0.0,0.0,65,65,1.0,0
1,0.1,,0.0,,0.0,0.0,365,365,1.0,0
1,0.1,0.0,0.0,,0.0,0.0,172,172,1.0,0
1,0.1,0.0005,0.0,,0.0,0.0,122,122,1.0,0
1,0.1,0.001,0.0,,0.0,0.0,65,65,1.0,0
1,0.2,,0.0,,0.0,0.0,365,365,1.0,0
1,0.2,0.0,0.0,,0.0,0.0,172,172,1.0,0
1,0.2,0.0005,0.0,,0.0,0.0,122,122,1.0,0
1,0.2,0.001,0.0,,0.0,0.0,65,65,1.0,0
1,0.3,,0.0,,0.0,0.0,365,365,1.0,0
1,0.3,0.0,0.0,,0.0,0.0,172,172,1.0,0
1,0.3,0.0005,0.0,,0.0,0.0,122,122,1.0,0
1,0.3,0.001,0.0,,0.0,0.0,65,65,1.0,0
1,0.4,,0.0,,0.0,0.0,365,365,1.0,0
1,0.4,0.0,0.0,,0.0,0.0,172,172,1.0,0
1,0.4,0.0005,0.0,,0.0,0.0,122,122,1.0,0
1,0.4,0.001,0.0,,0.0,0.0,65,65,1.0,0
2,,,-61.22088553505134,-1.1340559668732362,-62.12650460895196,2.7725939749400164,324,324,2.0,0
2,,0.0,-23.34851037512278,-1.9436545053035397,-26.13342404159192,1.3862969874700082,150,150,2.0,0
2,,0.0005,-17.40708555603324,-2.4859063210513708,-20.50301869569614,0.9864036256998134,107,107,2.0,0
2,,0.001,-7.747540948966158,-2.9588969076569107,-10.087570658316704,0.6131698213809651,57,57,2.0,0
2,0.1,,-61.22088553505134,-1.1340559668732362,-62.12650460895196,2.7725939749400164,324,324,2.0,134
2,0.1,0.0,-23.34851037512278,-1.9436545053035397,-26.13342404159192,1.3862969874700082,150,150,2.0,62
2,0.1,0.0005,-17.40708555603324,-2.4859063210513708,-20.50301869569614,0.9864036256998134,107,107,2.0,44
2,0.1,0.001,-7.747540948966158,-2.9588969076569107,-10.087570658316704,0.6131698213809651,57,57,2.0,20
2,0.2,,-61.22088553505134,-1.1340559668732362,-62.12650460895196,2.7725939749400164,324,324,2.0,107
2,0.2,0.0,-23.34851037512278,-1.9436545053035397,-26.13342404159192,1.3862969874700082,150,150,2.0,51
2,0.2,0.0005,-17.40708555603324,-2.4859063210513708,-20.50301869569614,0.9864036256998134,107,107,2.0,39
2,0.2,0.001,-7.747540948966158,-2.9588969076569107,-10.087570658316704,0.6131698213809651,57,57,2.0,16
2,0.3,,-61.22088553505134,-1.1340559668732362,-62.12650460895196,2.7725939749400164,324,324,2.0,99
2,0.3,0.0,-23.34851037512278,-1.9436545053035397,-26.13342404159192,1.3862969874700082,150,150,2.0,47
2,0.3,0.0005,-17.40708555603324,-2.4859063210513708,-20.50301869569614,0.9864036256998134,107,107,2.0,35
2,0.3,0.001,-7.747540948966158,-2.9588969076569107,-10.087570658316704,0.6131698213809651,57,57,2.0,14
2,0.4,,-61.22088553505134,-1.1340559668732362,-62.12650460895196,2.7725939749400164,324,324,2.0,82
2,0.4,0.0,-23.34851037512278,-1.9436545053035397,-26.13342404159192,1.3862969874700082,150,150,2.0,40
2,0.4,0.0005,-17.40708555603324,-2.4859063210513708,-20.50301869569614,0.9864036256998134,107,107,2.0,30
2,0.4,0.001,-7.747540948966158,-2.9588969076569107,-10.087570658316704,0.6131698213809651,57,57,2.0,12
3,,,-50.50872280932228,-1.1978684997342222,-53.7098872899884,5.278592375366569,262,262,3.0,0
3,,0.0,-21.29981836454853,-1.8000233056786867,-27.38066724911763,2.532657957877899,133,133,3.0,0
3,,0.0005,-10.158856849730514,-2.4580720333827637,-16.514043051573125,1.9728072513996269,92,92,3.0,0
3,,0.001,2.9460609896633905,-2.5323872344359986,-4.013278362984223,1.2263396427619302,53,53,3.0,0
3,0.1,,-55.68292799316907,-1.040709887802868,-58.02675285065002,4.452146094374833,286,286,2.5874125874125875,146
3,0.1,0.0,-19.655602874265497,-1.7867964255191213,-24.57554104462052,2.1860837110103972,137,137,2.5547445255474455,79
3,0.1,0.0005,-9.631732160794492,-2.5045299978651685,-14.951067568227616,1.6528925619834711,96,96,2.5520833333333335,54
