K,hold_days,dte_min,dte_max,filter,total_return_pct,sharpe,max_drawdown_pct,hit_rate_pct,entries,exits,avg_days_held
2,10,30,45,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
2,10,30,60,pred_top_half,-1.345571311111493,-1.545717192177424,-8.213538305853135,13.516395627832578,130,130,10.0
2,25,20,40,none,-2.070197845964239,-1.579604569895502,-5.51900395100898,16.848840309250868,73,73,25.0
2,25,25,45,none,-2.070197845964239,-1.579604569895502,-5.51900395100898,16.848840309250868,73,73,25.0
2,25,30,45,none,-2.070197845964239,-1.579604569895502,-5.51900395100898,16.848840309250868,73,73,25.0
2,25,30,60,none,-2.070197845964239,-1.579604569895502,-5.51900395100898,16.848840309250868,73,73,25.0
2,20,20,40,none,-2.310488239422992,-1.635070648088712,-5.486659855261307,23.567048786990135,119,119,20.0
2,20,25,45,none,-2.310488239422992,-1.635070648088712,-5.486659855261307,23.567048786990135,119,119,20.0
2,20,30,45,none,-2.310488239422992,-1.635070648088712,-5.486659855261307,23.567048786990135,119,119,20.0
2,20,30,60,none,-2.310488239422992,-1.635070648088712,-5.486659855261307,23.567048786990135,119,119,20.0
3,20,20,40,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
3,20,25,45,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
3,20,30,45,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
3,20,30,60,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
4,20,20,40,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
4,20,25,45,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
4,20,30,45,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
4,20,30,60,none,-2.940595645206978,-1.6313231579235414,-5.486659855261307,23.54038922953879,121,121,20.0
3,25,20,40,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
3,25,25,45,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
3,25,30,45,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
3,25,30,60,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
4,25,20,40,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
4,25,25,45,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
4,25,30,45,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
4,25,30,60,none,-3.056732024716735,-1.5842903367733854,-6.474949434385106,16.82218075179952,75,75,25.0
3,20,20,40,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
3,20,25,45,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
3,20,30,45,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
3,20,30,60,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
4,20,20,40,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
4,20,25,45,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
4,20,30,45,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
4,20,30,60,pred_top_half,-3.791087684509986,-1.7148689159705606,-5.722339603705756,23.113836310317247,108,108,20.0
3,25,20,40,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
3,25,25,45,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
3,25,30,45,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
3,25,30,60,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
4,25,20,40,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
4,25,25,45,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
4,25,30,45,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
4,25,30,60,pred_top_half,-3.9682939794342342,-1.675522665103515,-7.4009736488706785,16.288989602772595,62,62,25.0
1,20,20,40,none,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
1,20,20,40,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
1,20,25,45,none,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
1,20,25,45,pred_top_half,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
1,20,30,45,none,-5.375098300257475,-1.865270144032955,-7.282680497072475,23.03385763796321,106,106,20.0
