date,equity,drawdown,rolling_sharpe_21d,rolling_sortino_21d,rolling_vol_21d,n_positions,gross_exposure,net_exposure,net_delta_exposure,long_option_value,short_stock_value,hhi,max_weight_pct,max_weight_ticker,sector_hhi,max_sector_weight_pct,max_weight_sector,net_beta_exposure,gross_beta_exposure,net_dollar_delta,net_dollar_gamma,net_dollar_vega,net_dollar_theta,gross_exposure_pct_equity,net_exposure_pct_equity,long_option_value_pct_equity,short_stock_value_pct_equity,net_beta_exposure_pct_equity,gross_beta_exposure_pct_equity,gross_exposure_limit_breach,net_exposure_limit_breach,beta_limit_breach,single_name_limit_breach,sector_limit_breach,drawdown_regime
2010-01-04,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-05,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-06,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-07,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-08,1000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-11,1000000.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-12,1000000.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-13,1000000.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-14,1000000.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-15,1000000.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-19,1000000.0,0.0,,,0.0,1.0,51233.209504,-47009.209504,0.0,2111.9999999999995,49121.209504,1.0,1.0,IBM,,,,0.0,51233.209504,0.0,0.0,0.0,0.0,0.051233209503999996,0.047009209504,0.0021119999999999997,0.049121209504,0.0,0.051233209503999996,False,False,False,True,False,normal
2010-01-20,998568.4075712,-0.0014315924287999515,-10.510691345666322,,0.006852094134534541,1.0,56011.366,-51779.366,0.0,2116.0,53895.366,1.0,1.0,IBM,,,,0.0,56011.366,0.0,0.0,0.0,0.0,0.05609166640494409,0.05185359922004945,0.00211903359244732,0.05397263281249677,0.0,0.05609166640494409,False,True,False,True,False,normal
2010-01-21,998568.4075712,-0.0014315924287999515,-10.561461281114067,,0.006560380669301574,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-22,998568.4075712,-0.0014315924287999515,-10.625817733933914,,0.006303009869003058,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-25,998568.4075712,-0.0014315924287999515,-10.700575212009243,,0.006073732285798702,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-26,998568.4075712,-0.0014315924287999515,-10.783377606555572,,0.005867782853933556,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-27,998568.4075712,-0.0014315924287999515,-10.872449371841736,,0.005681456318111521,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-28,998568.4075712,-0.0014315924287999515,-10.966430936851058,,0.005511822236919203,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-01-29,998568.4075712,-0.0014315924287999515,-11.064266845058322,,0.005356528386069083,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-01,998568.4075712,-0.0014315924287999515,-11.165127919154854,,0.005213661882692379,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-02,998568.4075712,-0.0014315924287999515,-11.268355971216561,,0.005081649015397213,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-03,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-04,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-05,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-08,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-09,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-10,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-11,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-12,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-16,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-17,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-18,998568.4075712,-0.0014315924287999515,-11.373423804279406,-11.654291376284405,0.0049591816448249825,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-19,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-22,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-23,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-24,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-25,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-02-26,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-01,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-02,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-03,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-04,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-05,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-08,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-09,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-10,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-11,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-12,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-15,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-16,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-17,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-18,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-23,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-24,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-25,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-26,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-29,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-30,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-03-31,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-01,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-05,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-06,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-07,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-08,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-09,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-12,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-13,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-14,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-15,998568.4075712,-0.0014315924287999515,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-16,998568.4075712,-0.0014315924287999515,,,0.0,1.0,52321.485173999994,-46252.485173999994,0.0,3034.5,49286.985173999994,1.0,1.0,GE,,,,0.0,52321.485173999994,0.0,0.0,0.0,0.0,0.05239649560039717,0.046318794809961074,0.0030388503952180498,0.04935764520517912,0.0,0.05239649560039717,False,False,False,True,False,normal
2010-04-19,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,1.0,50385.76283400001,-45234.76283400001,0.0,2575.5,47810.26283400001,1.0,1.0,GE,,,,0.0,50385.76283400001,0.0,0.0,0.0,0.0,0.050438785923937066,0.045282365306665365,0.00257821030863585,0.047860575615301215,0.0,0.050438785923937066,False,False,False,True,False,normal
2010-04-20,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-21,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-22,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-23,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-26,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-27,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
2010-04-28,998948.763556343,-0.0010512364436569624,-26.262566006175362,,0.0013194807410998196,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,normal
