action,date,ticker,signal_date,option_price,stock_price,delta,stock_position,strike,expiry,dte,entry_cost,rank,prediction,exit_reason,days_held,realized_pnl,exit_cost
enter,2010-01-22,GE,2010-01-21,0.81,16.11,0.532663,-53.2663,16.0,2010-03-20,57.0,82.0,1.0,0.0015906449,,,,
exit,2010-01-26,GE,,0.925,16.35,,,,,,,,,max_holding_days,3.0,-5.804109080000117,3.3261250800000006
enter,2010-07-20,JNJ,2010-07-19,1.745,58.58,0.661924,-66.19239999999999,57.5,2010-08-21,32.0,175.5,1.0,0.0010914337,,,,
exit,2010-07-22,JNJ,,0.8,57.02,,,,,,,,,max_holding_days,3.0,-30.75738469000021,3.83502469
enter,2012-01-19,MSFT,2012-01-18,0.745,28.12,0.540247,-54.0247,28.0,2012-02-18,30.0,75.5,1.0,0.0011264253,,,,
enter,2012-01-19,GOOGL,2012-01-18,23.5,639.57,0.516582,-51.6582,640.0,2012-02-18,30.0,2351.0,2.0,0.0010615718,,,,
exit,2012-01-20,MSFT,,0.65,29.71,,,,,,,,,stop_loss,2.0,-82.1614972795,2.9512862794999997
exit,2012-01-23,GOOGL,,19.200000000000003,585.52,,,,,,,,,max_holding_days,3.0,2344.2324387040044,54.72294129600001
enter,2012-01-27,CVX,2012-01-26,2.36,103.96,0.434492,-43.4492,105.0,2012-03-17,50.0,237.0,1.0,0.0020564664,,,,
exit,2012-01-31,CVX,,1.9249999999999998,103.12,,,,,,,,,max_holding_days,3.0,-18.176874264000425,6.823170264
enter,2012-04-17,IBM,2012-04-16,6.05,207.45,0.582594,-58.25939999999999,205.0,2012-05-19,32.0,606.0,1.0,0.001290638,,,,
exit,2012-04-19,IBM,,3.0999999999999996,199.51,,,,,,,,,max_holding_days,3.0,68.43268590949988,11.9157280905
enter,2012-05-17,WMT,2012-05-16,0.77,61.68,0.39641,-39.641,62.5,2012-06-16,30.0,78.0,1.0,0.0013369061,,,,
exit,2012-05-22,WMT,,0.9450000000000001,63.73,,,,,,,,,stop_loss,2.0,-63.582767534999896,4.086817535
enter,2012-07-18,IBM,2012-07-17,3.7,188.25,0.437011,-43.7011,190.0,2012-08-18,31.0,371.0,1.0,0.0014479458,,,,
exit,2012-07-19,IBM,,3.4000000000000004,195.34,,,,,,,,,stop_loss,2.0,-407.6099341020002,12.825180102000001
enter,2012-10-18,MSFT,2012-10-17,0.545,29.495,0.408875,-40.887499999999996,30.0,2012-11-17,30.0,55.50000000000001,1.0,0.0011764299,,,,
